SystemIndex,Millis,MeanIBI,MaxIBI,MinIBI,MeanNDVI,MaxNDVI,MinNDVI,MeanMNDWI,MaxMNDWI,MinMNDWI,MeanLST,MaxLST,MinLST,Cloud,Timestamp,Year,Month,Day,DOY,Sensor
2_LT05_126052_20000106,947127305105,-0.2059857803250506,0.2141956979819891,-0.7074835553585818,0.4586002929559935,0.790840744972229,-0.429423451423645,-0.2142026576981059,0.8486486486486485,-0.5984275778651346,25.760588524104627,32.83207173282972,20.37492026632248,22.0,2000-01-06 02:55:05.105,2000,1,6,6,LS5
2_LT05_126052_20000122,948509683225,-0.1931720333498225,0.1509143158604038,-0.6532029427252706,0.513571442960777,0.8153073787689209,-0.2108474522829055,-0.2937202583131419,0.6482889733840304,-0.6449334866152079,24.39434298977604,32.77957402481377,20.00000699646938,31.0,2000-01-22 02:54:43.225,2000,1,22,22,LS5
2_LT05_126052_20000223,951274414645,-0.232784683514665,0.148533997358888,-0.8693609351789929,0.453598838434882,0.8496555685997009,-0.3603335320949554,-0.1658150627692909,0.9491371480472298,-0.6094545454545455,34.39096429510456,44.140047655837805,29.395545986718677,34.0,2000-02-23 02:53:34.645,2000,2,23,54,LS5
2_LT05_126052_20000310,952656810594,-0.1861476153320305,0.1320430397788213,-0.6339065211475386,0.4332991092085888,0.679463267326355,-0.2091333717107772,-0.1899541764127286,0.7586776859504132,-0.5164419209841494,31.30824193706939,39.8829450730737,26.93254073886385,34.0,2000-03-10 02:53:30.594,2000,3,10,70,LS5
1_2_LE07_126052_20000318,953349156882,-0.1961618817119331,0.1197920776119329,-0.6654663227031765,0.4046062348321965,0.6678056120872498,-0.0923076942563057,-0.1471644250176922,0.63448784082535,-0.4781639100538932,32.09486232294444,40.587536909139885,24.399067399684554,37.0,2000-03-18 03:12:36.882,2000,3,18,78,LS7
2_LT05_126052_20000326,954039256973,-0.1746670890160079,0.1421308254658919,-0.66460967376043,0.4590934504714731,0.7248336672782898,-0.1345617026090622,-0.2379188061111325,0.8343558282208587,-0.5128544924463292,34.68973088541929,47.05849827116356,21.909650566245546,14.0,2000-03-26 02:54:16.973,2000,3,26,86,LS5
2_LT05_126052_20000427,956804116646,-0.2131922223871387,0.1954912809892554,-1.1258144917279744,0.5412844192731638,0.8761941194534302,-0.5229681730270386,-0.3154420436485576,0.9835616438356164,-0.670514165792235,35.3049514401931,47.07623872577847,30.172521038475224,7.0,2000-04-27 02:55:16.646,2000,4,27,118,LS5
1_2_LE07_126052_20000505,957496334966,-0.1709060918586516,0.6185678772865213,-1.0803484936371306,0.4847299693874208,0.8808124661445618,-0.630922257900238,-0.2852931644262479,0.9473684210526316,-0.7300805729632944,35.469522997403,52.375790040316645,20.080347549623355,39.0,2000-05-05 03:12:14.966,2000,5,5,126,LS7
2_LT05_126052_20000529,959568960249,,,,,,,,,,,,,22.0,2000-05-29 02:56:00.249,2000,5,29,150,LS5
1_2_LE07_126052_20000606,960261112290,-0.2724960004322108,0.1265570191388726,-0.9378400930736572,0.6110072799517352,0.8914429545402527,-0.3575498461723327,-0.3257613582500942,0.9715762273901808,-0.6378728923476005,35.45835031208063,45.11745410199558,29.392415110763466,21.0,2000-06-06 03:11:52.290,2000,6,6,158,LS7
